Secuencial;Fecha de Análisis;Departamento;Municipio;Cultivo;Estado;Tiempo de establecimiento;Topografia;Drenaje;Riego;Fertilizantes aplicados;pH agua:suelo;Materia organica;Fósforo Bray II;Azufre Fosfato monocalcico;Acidez Intercambiable;Aluminio intercambiable;Calcio intercambiable;Magnesio intercambiable;Potasio intercambiable;Sodio intercambiable;capacidad de intercambio cationico;Conductividad electrica;Hierro disponible olsen;Cobre disponible;Manganeso disponible Olsen;Zinc disponible Olsen;Boro disponible;Hierro disponible doble acido;Cobre disponible doble acido;Manganeso disponible doble acido;Zinc disponible doble  acido
23;21/08/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;7.32;6.258;58.11;91.05;ND;ND;18.12;3.207;0.348;0.130;21.80;2.123;49.80;3.400;1.9;5.5;0.679;ND;ND;ND;ND
76;21/08/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;SI CADA CORTE;6.44;5.935;43.24;9.167;ND;ND;15.83;1.459;0.284;0.048;17.63;0.742;59.1;2.7;6.4;7.4;0.301;ND;ND;ND;ND
77;21/08/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.91;4.688;6.999;52.62;ND;ND;16.02;2.282;0.246;0.059;18.61;1.196;100;3.1;3.300;1.799;0.373;ND;ND;ND;ND
78;21/08/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.63;3.995;21.31;2.837;ND;ND;7.300;1.346;0.220;0.038;8.906;0.310;329;7.800;5.5;2;0.085;ND;ND;ND;ND
136;21/08/2014;CUNDINAMARCA;NOCAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.65;4.113;84.32;6.304;ND;ND;8.012;1.912;0.435;0.032;10.39;0.247;478.0;6.5;4.699;10.8;0.193;ND;ND;ND;ND
137;21/08/2014;CUNDINAMARCA;NOCAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;4.980;4.919;21.68;7.961;0.844;0.707;4.642;1.017;0.275;0.027;6.807;0.257;842;7.1;8.699;4.2;0.157;ND;ND;ND;ND
138;21/08/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.75;3.626;35.06;2.686;ND;ND;6.664;1.470;0.153;0.032;8.320;0.237;544;5.899;2.5;1.700;0.103;ND;ND;ND;ND
139;21/08/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.61;5.611;68.34;6.002;ND;ND;7.899;1.295;0.208;0.027;9.430;0.388;598;5.300;7.4;7.800;0.121;ND;ND;ND;ND
382;1/08/2014;VALLE DEL CAUCA;TULUÁ;Caña Panelera;Establecido;De 5 a 10 años;Plano;Buen drenaje;Gravedad;MEZCLAS;6.73;2.185;6.083;3.349;ND;ND;11.08;6.723;0.176;0.239;18.22;0.189;19.7;3.300;1.100;0.8;0.215;ND;ND;ND;ND
2.321;25/07/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;De 5 a 10 años;No indica;Regular drenaje;No Tiene;No indica;7.74;5.246;23.25;16.68;ND;ND;13.04;1.356;0.115;0.027;14.54;0.419;15.4;1.9;0.899;2.5;0.619;ND;ND;ND;ND
2.322;25/07/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;De 5 a 10 años;No indica;Regular drenaje;No Tiene;No indica;6.34;7.167;13.06;14.30;ND;ND;17.78;1.788;0.272;0.043;19.88;0.356;51;3.300;1.799;8;0.464;ND;ND;ND;ND
2.333;25/07/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;De 5 a 10 años;No indica;Regular drenaje;No Tiene;No indica;4.41;4.681;5.458;4.808;7.175;6.200;3.594;0.565;0.115;0.010;11.46;0.083;556;4.8;1.2;3.599;0.205;ND;ND;ND;ND
2.781;25/11/2014;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;6.08;9.532;19.00;15.89;ND;ND;8.835;1.850;0.345;0.201;11.23;0.479;82.6;1.2;16.59;9.9;0.181;ND;ND;ND;ND
2.783;25/11/2014;BOYACÁ;MONIQUIRÁ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;5.16;6.663;36.40;12.58;0.191;0.150;7.113;1.788;0.355;0.146;9.595;0.373;709;1.9;14.39;2.6;0.444;ND;ND;ND;ND
2.795;25/11/2014;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;5.9;10.37;14.80;13.46;ND;ND;15.64;1.603;0.249;0.070;17.57;0.191;164;1.5;15.8;4.900;0.444;ND;ND;ND;ND
2.796;25/11/2014;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;6.43;8.367;13.99;15.89;ND;ND;13.21;1.973;0.303;0.119;15.61;0.209;157;1.400;11;1.5;0.143;ND;ND;ND;ND
2.800;25/11/2014;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;6.09;7.668;18.89;18.54;ND;ND;14.93;1.356;0.230;0.065;16.59;0.156;149;1.400;17.8;3.300;0.595;ND;ND;ND;ND
2.802;25/11/2014;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;6.58;10.20;32.65;15.67;ND;ND;17.48;2.282;0.336;0.081;20.18;0.285;67.40;1.6;6.899;5.5;0.049;ND;ND;ND;ND
2.803;25/11/2014;SANTANDER;GÜEPSA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;6.46;8.560;34.99;15.67;ND;ND;12.31;2.035;0.729;0.108;15.19;0.252;185;2.300;5.099;3.5;0.444;ND;ND;ND;ND
2.804;25/11/2014;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;4.5;7.231;43.19;12.36;3.153;2.531;3.556;1.171;0.412;0.076;8.371;0.257;1880;2.800;28.5;4.400;0.218;ND;ND;ND;ND
2.805;25/11/2014;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;4.889;8.412;64.24;11.69;0.997;0.820;4.567;0.616;0.48;0.032;6.694;0.277;1577.;5.300;21.29;5.699;0.331;ND;ND;ND;ND
2.806;25/11/2014;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;5.57;7.350;50.31;11.91;ND;ND;6.701;1.110;0.316;0.065;8.194;0.184;1046;1.700;47.9;2.9;0.388;ND;ND;ND;ND
2.807;25/11/2014;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;6.5;7.447;87.19;20.09;ND;ND;7.937;1.171;0.438;0.043;9.591;0.636;795;1.400;7.5;2.6;0.689;ND;ND;ND;ND
2.808;25/11/2014;BOYACÁ;SANTANA;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;5.27;5.822;19.32;7.500;0.342;0.300;4.829;1.788;0.358;0.048;7.368;0.141;633;1.9;29.2;2.300;0.369;ND;ND;ND;ND
2.809;25/11/2014;BOYACÁ;SAN JOSÉ DE PARE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;4.769;10.99;25.56;9.931;3.314;2.882;3.219;1.418;0.297;0.043;8.294;0.141;1346.;1.9;12.9;1.799;0.388;ND;ND;ND;ND
2.810;25/11/2014;BOYACÁ;CHITARAQUE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;5;18.49;74.74;11.91;2.256;2.101;4.305;1.603;0.249;0.048;8.464;0.184;446;2.300;3.5;5.5;0.086;ND;ND;ND;ND
2.811;25/11/2014;BOYACÁ;CHITARAQUE;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;4.940;11.12;81.80;9.710;2.891;2.531;3.407;1.110;0.342;0.048;7.800;0.133;1102;3.7;6.600;4.600;0.463;ND;ND;ND;ND
2.812;25/11/2014;SANTANDER;VÉLEZ;Caña Panelera;Establecido;No indica;Ondulado;No indica;No Tiene;DAP - UREA;7.17;12.22;37.45;37.33;ND;ND;18.64;1.850;0.339;0.119;20.95;0.530;85.3;1.799;6.600;5.300;0.708;ND;ND;ND;ND
2.917;10/12/2014;HUILA;ISNOS;Caña Panelera;Establecido;De 0 a 1 año;No indica;Buen drenaje;No indica;TRIPLE 15-15-15;5.28;9.723;4.708;7.641;0.181;0.110;4.080;1.233;0.655;0.054;6.206;0.591;247.0;3.2;3.7;2;0.031;ND;ND;ND;ND
3.607;31/12/2014;CUNDINAMARCA;NOCAIMA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;Regular drenaje;No Tiene;TRIPLE 15;7.38;4.683;253.4;8.748;ND;ND;1.223;0.709;0.246;0.059;2.238;0.338;282;14.9;2.4;27.9;0.140;ND;ND;ND;ND
3.764;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;QUIMICO;5.13;6.264;19.61;8.004;0.131;0;2.658;0.842;0.275;0.048;3.956;0.348;534;4.5;6.7;5.8;0.051;ND;ND;ND;ND
3.765;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;De 5 a 10 años;Ondulado;No indica;No Tiene;No indica;4.650;5.873;2.735;14.23;2.365;2.080;2.396;0.339;0.111;0.054;5.267;0.248;614;3.1;2.9;1;0.031;ND;ND;ND;ND
3.789;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;De 5 a 10 años;Pendiente;No indica;No Tiene;No indica;4.42;2.251;8.481;4.586;1.951;1.808;1.609;0.287;0.099;0.032;3.980;0.142;391;3.300;1.3;0.8;0.031;ND;ND;ND;ND
3.790;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;No indica;4.55;8.679;43.09;13.25;3.528;3.014;1.647;0.298;0.108;0.038;5.620;0.232;722;1.9;1;7.1;0.071;ND;ND;ND;ND
3.791;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;No indica;4.67;3.791;1.757;17.51;0.990;0.884;2.059;0.328;<0.09;0.032;3.494;0.142;755;2.4;0.4;0.3;0.071;ND;ND;ND;ND
3.792;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;QUIMICO;5.38;3.575;1.012;3.725;0.252;0.200;2.882;1.079;0.099;0.048;4.363;0.147;73.89;3.599;6;1.9;0.051;ND;ND;ND;ND
3.793;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;QUIMICO-ORGANICO;4.79;7.594;5.173;5.568;1.405;1.095;1.535;0.411;0.156;0.043;3.551;0.237;780;2.6;2;1;0.071;ND;ND;ND;ND
3.794;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;No indica;4.45;4.998;3.993;10.15;2.011;1.788;1.609;0.328;<0.09;0.048;4.086;0.216;811;3.1;1.799;0.5;0.110;ND;ND;ND;ND
3.795;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;No indica;4.97;1.732;2.922;3.295;1.071;0.914;2.134;0.308;<0.09;0.065;3.662;0.116;56;2;1.799;0.3;0.051;ND;ND;ND;ND
3.797;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;No indica;4.519;3.686;2.425;3.698;1.637;1.306;1.460;0.287;<0.09;0.038;3.491;0.121;560;2.300;0.4;0.5;0.031;ND;ND;ND;ND
3.801;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;De 5 a 10 años;Ondulado;No indica;No Tiene;QUIMICO;5.09;2.934;3.388;10.47;0.727;0.562;1.759;0.267;<0.09;0.032;2.861;0.100;448.0;2.6;0.8;0.2;0.011;ND;ND;ND;ND
3.802;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;QUIMICO;4.690;3.336;2.658;6.416;2.689;2.331;1.310;0.308;<0.09;0.108;4.500;0.121;444.0;3.300;3.2;0.4;0.031;ND;ND;ND;ND
3.803;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;De 5 a 10 años;Pendiente;No indica;No Tiene;QUIMICO;5.03;1.015;1.555;18.39;0.818;0.693;1.160;1.089;0.102;0.092;3.264;0.110;27;2.5;6.3;0.6;0.011;ND;ND;ND;ND
3.804;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;No indica;4.82;1.831;1.105;4.950;1.324;1.075;1.272;0.226;0.092;0.032;2.948;0.089;89.2;1.9;1.700;0.3;0.051;ND;ND;ND;ND
3.806;12/12/2014;ANTIOQUIA;SAN ROQUE;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;QUIMICO;4.76;3.248;7.580;5.407;0.930;0.753;4.305;0.657;0.118;0.027;6.039;0.206;246;5;9.399;2.4;0.031;ND;ND;ND;ND
4.014;22/12/2014;META;ACACÍAS;Caña Panelera;Establecido;No indica;Ondulado;Buen drenaje;No indica;No indica;4.58;3.248;1.754;2.975;1.773;1.247;0.524;0.123;<0.09;0.038;2.506;0.105;ND;ND;ND;ND;0.305;54;0.8;2.16;0,48
4.028;22/12/2014;META;ACACÍAS;Caña Panelera;Establecido;No indica;Ondulado;Buen drenaje;No indica;No indica;4.33;2.945;1.145;2.814;2.347;1.996;0.499;0.123;<0.09;0.048;3.076;0.105;ND;ND;ND;ND;0.171;64.80;0.88;1.96;0,28
4.057;22/12/2014;META;ACACÍAS;Caña Panelera;Establecido;No indica;Ondulado;Buen drenaje;No indica;No indica;4.360;3.033;1.115;4.486;2.531;2.006;0.474;0.195;<0.09;0.048;3.339;0.116;ND;ND;ND;ND;0.156;37.64;1.159;1.36;0,4
4.628;31/10/2014;CUNDINAMARCA;QUIPILE;Caña Panelera;Establecido;Mas de 10 años;No indica;Regular drenaje;No Tiene;Ninguno;6.03;4.416;80.55;12.27;ND;ND;8.124;2.097;0.588;0.054;10.86;0.305;405;6.2;4.2;51;0.417;ND;ND;ND;ND
4.765;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Plano;No indica;No Tiene;ABONO ORGANICO;5.08;6.776;5.784;5.899;0.415;0.313;2.957;0.205;0.153;0.054;3.786;0.277;323;5.600;12.8;4;0.154;ND;ND;ND;ND
4.766;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Plano;No indica;No Tiene;ABONO ORGANICO;4.95;5.302;5.986;4.191;1.640;1.296;1.946;1.007;0.124;0.032;4.752;0.207;663.9;2.6;7.199;1;0.195;ND;ND;ND;ND
4.770;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No Tiene;ABONO ORGANICO;4.66;6.682;2.858;4.570;1.387;1.174;1.984;1.017;0.323;0.059;4.772;0.302;540;2.200;14.39;1.700;0.235;ND;ND;ND;ND
4.796;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No indica;CAL;4.42;6.843;20.64;5.709;1.033;0.881;1.123;0.164;<0.09;0.032;2.430;0.383;77.59;6;5.5;2.4;0.295;ND;ND;ND;ND
4.798;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No indica;GALLINAZA;5.36;4.189;46.84;4.950;0.405;0.192;2.171;0.503;0.099;0.054;3.233;0.103;86;6.4;10.60;3.400;0.134;ND;ND;ND;ND
4.801;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;No indica;No indica;GALLINAZA;4.49;4.493;4.283;2.482;1.812;1.529;1.347;0.123;<0.09;0.021;3.395;0.151;421.9;6.800;2.4;2;0.255;ND;ND;ND;ND
4.803;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 5 a 10 años;Pendiente;No indica;No indica;CAL;4.53;5.097;6.497;3.051;1.681;1.539;1.198;0.359;0.204;0.043;3.487;0.300;451.9;3.900;7;2.200;0.195;ND;ND;ND;ND
4.829;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 5 a 10 años;Plano;No indica;No Tiene;ABONO ORGANICO;4.93;10.26;16.12;4.950;0.486;0.374;4.305;1.069;0.252;0.043;6.157;0.446;321;3.900;12;3.400;0.275;ND;ND;ND;ND
4.846;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 1 a 5 años;Ligeramente ondulado;No indica;No Tiene;ABONO ORGANICO;4.28;7.485;2.843;2.102;3.757;3.453;1.871;0.740;0.176;0.038;6.583;0.383;539;2.9;17;1.2;0.114;ND;ND;ND;ND
4.898;12/11/2014;CUNDINAMARCA;ÚTICA;Caña Panelera;Establecido;De 5 a 10 años;Pendiente;No indica;No indica;Ninguno;7.69;6.686;4.476;6.167;ND;ND;14.97;1.274;0.169;0.065;16.48;0.429;31.5;2.4;2.1;0.700;0.304;ND;ND;ND;ND
4.903;12/11/2014;CUNDINAMARCA;ÚTICA;Caña Panelera;Establecido;De 5 a 10 años;Pendiente;No indica;No indica;Ninguno;6.67;7.045;2.555;4.894;ND;ND;19.01;0.729;0.217;0.081;20.04;0.383;77.69;2.200;1.799;1;0.220;ND;ND;ND;ND
4.915;12/11/2014;CUNDINAMARCA;ÚTICA;Caña Panelera;Establecido;De 5 a 10 años;Pendiente;No indica;No indica;Ninguno;7.67;6.165;2.114;8.894;ND;ND;16.17;1.377;0.185;0.076;17.81;0.424;25.5;2.300;2.300;0.899;0.119;ND;ND;ND;ND
5.025;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 0 a 1 año;Plano;No indica;No Tiene;ABONO ORGANICO;4.849;4.536;1.642;5.258;2.442;2.276;1.272;0.678;0.102;0.043;4.540;0.116;528;2.5;4.400;0.700;0.086;ND;ND;ND;ND
5.030;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 1 a 5 años;Ligeramente ondulado;No indica;No Tiene;ABONO ORGANICO;4.42;5.275;2.177;6.167;3.735;3.260;2.358;1.675;0.179;0.038;7.987;0.510;696;6.3;11;1.5;0.102;ND;ND;ND;ND
5.031;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 5 a 10 años;Ligeramente ondulado;No indica;No Tiene;ABONO ORGANICO;4.03;6.627;2.271;6.894;5.536;4.572;1.010;0.452;0.131;0.032;7.164;0.444;676.9;3.400;3.7;2.1;0.237;ND;ND;ND;ND
5.032;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Plano;No indica;No Tiene;ABONO ORGANICO;5.45;5.297;20.14;4.349;0;0;4.754;1.120;0.179;0.038;6.092;0.376;200;3;6.7;4.900;0.086;ND;ND;ND;ND
5.033;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Plano;No indica;No Tiene;ABONO ORGANICO;5.85;7.077;59.92;8.166;ND;ND;7.001;1.737;0.352;0.059;9.150;0.381;219;5.300;6.800;6.2;0.287;ND;ND;ND;ND
5.051;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 0 a 1 año;Ligeramente ondulado;No indica;No Tiene;ABONO ORGANICO;4.559;6.095;2.487;1.912;2.349;2.096;2.208;0.801;0.156;0.043;5.560;0.209;340;2.200;11.29;1;0.154;ND;ND;ND;ND
5.052;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 1 a 5 años;Ligeramente ondulado;No indica;No Tiene;ABONO ORGANICO;4.690;8.965;3.540;2.102;1.579;1.407;2.358;1.480;0.352;0.048;5.819;0.275;417;2;19.39;1.5;0.215;ND;ND;ND;ND
5.058;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 5 a 10 años;Ligeramente ondulado;No indica;No Tiene;ABONO ORGANICO;5.21;4.694;6.003;6.712;0.264;0.174;3.481;0.647;0.140;0.059;4.594;0.361;194.1;2.300;4.900;3;0.069;ND;ND;ND;ND
5.062;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;Mas de 10 años;Plano;No indica;No Tiene;ABONO ORGANICO;5.37;5.823;10.85;7.258;0.417;0.256;3.631;1.130;0.176;0.032;5.388;0.146;368.0;5.5;6.800;8.4;0.253;ND;ND;ND;ND
5.063;18/11/2014;PUTUMAYO;MOCOA;Caña Panelera;Establecido;De 1 a 5 años;Ligeramente ondulado;No indica;No Tiene;ABONO ORGANICO;4.599;6.540;1.972;6.894;1.882;1.414;2.583;1.706;0.182;0.038;6.393;0.315;336;2.300;47.80;2.300;0.102;ND;ND;ND;ND
5.461;20/03/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Plano;Mal drenaje;No Tiene;NO;5.26;14.83;5.856;3.166;0.751;0.440;1.010;0.185;0.192;0.065;2.204;0.184;120;1.799;7.3;12.9;0.207;ND;ND;ND;ND
5.462;20/03/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;Mal drenaje;No Tiene;NO;6.04;1.261;13.38;3.487;ND;ND;3.893;0.647;<0.09;0.054;4.666;0.585;151;1.9;1.100;1.5;0.167;ND;ND;ND;ND
5.463;20/03/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;Mal drenaje;No Tiene;NO;5.6;16.61;3.930;4.452;ND;ND;2.471;1.017;0.300;0.032;3.822;0.103;93.99;0.899;6.7;0.8;0.167;ND;ND;ND;ND
5.464;20/03/2014;CUNDINAMARCA;QUEBRADANEGRA;Caña Panelera;Establecido;De 5 a 10 años;Ondulado;Buen drenaje;No Tiene;NO;7.86;3.612;64.26;8.176;ND;ND;17.57;2.713;0.947;0.174;21.40;0.643;43.09;2.5;1.6;6.600;0.273;ND;ND;ND;ND
5.467;20/03/2014;CUNDINAMARCA;QUEBRADANEGRA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;Regular drenaje;No Tiene;NO;7.37;5.476;42.81;8.380;ND;ND;24.77;1.213;0.412;0.125;26.52;0.593;19.8;2.300;1.2;10.3;0.432;ND;ND;ND;ND
5.469;20/03/2014;CUNDINAMARCA;QUEBRADANEGRA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;Regular drenaje;No Tiene;NO;7.75;5.542;23.02;2.683;ND;ND;20.24;0.812;0.284;0.059;21.40;0.563;21.20;3.400;2;10.8;0.619;ND;ND;ND;ND
5.470;20/03/2014;CUNDINAMARCA;QUEBRADANEGRA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;Regular drenaje;No Tiene;NO;7.78;5.178;17.84;5.417;ND;ND;22.71;0.750;0.214;0.048;23.73;0.505;20.39;2.300;1.3;10.4;0.658;ND;ND;ND;ND
5.471;20/03/2014;CUNDINAMARCA;QUEBRADANEGRA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;Mal drenaje;No Tiene;NO;7.52;5.952;83.95;4.452;ND;ND;15.72;0.812;0.252;0.038;16.82;0.598;32.1;1.400;1.6;29;0.560;ND;ND;ND;ND
5.472;20/03/2014;CUNDINAMARCA;QUEBRADANEGRA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;Regular drenaje;No Tiene;NO;7.31;6.498;50.04;3.005;ND;ND;22.58;1.130;0.223;0.038;23.97;0.383;16.89;3.400;1.2;75;0.383;ND;ND;ND;ND
5.477;20/03/2014;CUNDINAMARCA;QUEBRADANEGRA;Caña Panelera;Establecido;Mas de 10 años;Pendiente;Regular drenaje;No Tiene;NO;8.33;1.230;3.516;3.692;ND;ND;19.97;0.143;<0.09;0.059;20.23;0.323;7.199;2.6;0.6;8.4;0.251;ND;ND;ND;ND
5.479;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;Mas de 10 años;Plano;Mal drenaje;No Tiene;NO;5.17;7.501;4.800;4.774;1.252;1.018;2.464;1.192;0.147;0.032;5.089;0.156;135;1.100;3.1;0.899;0.266;ND;ND;ND;ND
5.480;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;De 1 a 5 años;Ondulado;Mal drenaje;No Tiene;NO;5.33;20.01;5.545;3.487;0.520;0.293;4.492;1.182;0.156;0.038;6.390;0.459;59.5;1.799;7;4.8;0.207;ND;ND;ND;ND
5.481;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;Mal drenaje;No Tiene;NO;4.95;6.089;3.666;6.221;3.426;3.044;1.884;0.380;0.172;0.038;5.901;0.083;387;2.6;1.799;2.300;0.266;ND;ND;ND;ND
5.482;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;Mal drenaje;No Tiene;NO;5.36;4.494;3.371;2.201;0.170;0;7.899;0.791;0.124;0.059;9.046;0.131;491;15.5;4;86;0.207;ND;ND;ND;ND
5.483;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;De 1 a 5 años;Ondulado;Mal drenaje;No Tiene;NO;4.690;4.904;3.403;4.131;3.436;3.103;2.882;0.442;0.131;0.048;6.941;0.179;1068;5.699;2.6;11.5;0.246;ND;ND;ND;ND
5.484;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;Mal drenaje;No Tiene;NO;4.639;2.900;4.334;2.844;3.776;3.142;0.680;0.205;<0.09;0.043;4.795;0.113;205;1;1.3;0.5;0.207;ND;ND;ND;ND
5.486;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;Mal drenaje;No Tiene;NO;4.7;4.039;4.179;2.683;3.195;2.506;1.166;0.061;<0.09;0.021;4.500;0.100;675;1.9;1.700;5;0.285;ND;ND;ND;ND
5.488;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;Mal drenaje;No Tiene;NO;4.599;3.811;2.750;4.774;3.686;3.142;0.599;0.092;<0.09;0.043;4.482;0.116;642;1.2;0.8;1.3;0.148;ND;ND;ND;ND
5.489;20/03/2014;CUNDINAMARCA;VERGARA;Caña Panelera;Establecido;Mas de 10 años;Plano;Mal drenaje;No Tiene;NO;5.01;3.902;7.502;5.096;1.733;1.488;1.896;0.421;<0.09;0.048;4.164;0.128;410;2.9;4;5;0.207;ND;ND;ND;ND
